Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
557654,Ms.,Thomasine,J,Bode,F,thomasine.bode@rediffmail.com,Elton Bode,Ellyn Bode,Hover,11/22/1960,05:54:02 PM,59.81,59,10/11/2015,Q4,H2,2015,10,October,Oct,11,Sunday,Sun,4.89,102809,28%,450-99-9746,209-769-2502,San Francisco,San Francisco,San Francisco,CA,94127,West,tjbode,rrwWM^/Mq8Z6Amj
192145,Mr.,Joan,Y,Mcauley,M,joan.mcauley@yahoo.com,Hank Mcauley,Shanae Mcauley,Gent,6/5/1998,10:20:03 AM,22.25,60,1/24/2020,Q1,H1,2020,1,January,Jan,24,Friday,Fri,0.6,197292,20%,025-92-3880,225-800-3505,Duson,Lafayette,Duson,LA,70529,South,jymcauley,yrs-*%*>SIXN&
999339,Mrs.,Doria,E,Bone,F,doria.bone@msn.com,Elliott Bone,Albertine Bone,Priester,1/14/1982,01:21:26 PM,38.65,43,1/3/2018,Q1,H1,2018,1,January,Jan,3,Wednesday,Wed,2.66,141766,21%,013-94-3057,218-248-2247,Richville,Otter Tail,Richville,MN,56576,Midwest,debone,prHpRC9JST4
945758,Mr.,Trenton,G,Lilly,M,trenton.lilly@walmart.com,Roosevelt Lilly,Lashon Lilly,Rojo,7/20/1979,07:20:32 AM,41.15,77,8/16/2018,Q3,H2,2018,8,August,Aug,16,Thursday,Thu,2.04,54582,14%,640-29-8419,252-497-1841,Lumberton,Robeson,Lumberton,NC,28359,South,tglilly,R~f&3{ujy
169164,Ms.,Elenor,Q,Mcarthur,F,elenor.mcarthur@gmail.com,Norbert Mcarthur,Paige Mcarthur,Hess,4/27/1995,12:45:29 PM,25.36,41,2/25/2019,Q1,H1,2019,2,February,Feb,25,Monday,Mon,1.52,107412,19%,617-87-6667,270-224-6773,Nicholasville,Jessamine,Nicholasville,KY,40356,South,eqmcarthur,XjI;*Uwf_{
144291,Hon.,Jon,U,Mullinax,M,jon.mullinax@gmail.com,Elton Mullinax,Macie Mullinax,Merchant,9/26/1993,09:33:43 PM,26.95,53,2/4/2019,Q1,H1,2019,2,February,Feb,4,Monday,Mon,1.57,125084,1%,088-02-5741,236-238-3065,Richmond,Richmond,Richmond,VA,23207,South,jumullinax,8unaU-G_AyF?E
560652,Mr.,Russell,T,Rawls,M,russell.rawls@yahoo.co.uk,Adan Rawls,Patrica Rawls,Ringer,6/17/1993,08:17:34 AM,27.22,56,7/12/2018,Q3,H2,2018,7,July,Jul,12,Thursday,Thu,2.14,93583,14%,413-99-6022,216-431-0929,Cleveland,Cuyahoga,Cleveland,OH,44108,Midwest,rtrawls,o~E^*Cbg/>
675229,Prof.,Marion,H,Fermin,M,marion.fermin@earthlink.net,Toney Fermin,Khadijah Fermin,Coletti,5/13/1980,11:58:39 PM,40.33,86,7/16/2001,Q3,H2,2001,7,July,Jul,16,Monday,Mon,19.14,73543,19%,310-37-1100,605-665-9918,Rochford,Pennington,Rochford,SD,57778,Midwest,mhfermin,X8mDF^qT}4q\6
629405,Ms.,Kiersten,K,Losey,F,kiersten.losey@gmail.com,Kenneth Losey,Lucrecia Losey,Zack,5/26/1981,09:04:49 PM,39.29,56,9/26/2007,Q3,H2,2007,9,September,Sep,26,Wednesday,Wed,12.94,147287,22%,081-02-4664,205-279-6593,Mobile,Mobile,Mobile,AL,36621,South,kklosey,fft[B]1Y!mV#%;
928716,Mr.,Luigi,A,Corbett,M,luigi.corbett@ibm.com,Anderson Corbett,Lashell Corbett,Arp,10/11/1988,06:53:18 PM,31.91,67,5/5/2012,Q2,H1,2012,5,May,May,5,Saturday,Sat,8.33,75186,29%,554-99-2611,205-421-4670,Birmingham,Jefferson,Birmingham,AL,35220,South,lacorbett,t\7!J2d%q<
823046,Dr.,Woodrow,U,Tellis,M,woodrow.tellis@gmail.com,Gene Tellis,Myrtice Tellis,Blackshire,5/7/1979,01:39:14 PM,41.35,71,12/28/2016,Q4,H2,2016,12,December,Dec,28,Wednesday,Wed,3.68,74095,8%,206-84-1885,339-506-7679,Groton,Middlesex,Groton,MA,1471,Northeast,wutellis,YrNI8;_g5
263265,Ms.,Annika,D,Coolidge,F,annika.coolidge@shaw.ca,Sterling Coolidge,Loan Coolidge,Eisele,10/31/1971,09:11:17 AM,48.87,51,10/3/2002,Q4,H2,2002,10,October,Oct,3,Thursday,Thu,17.92,199546,30%,549-99-0159,210-399-4122,Staples,Guadalupe,Staples,TX,78670,South,adcoolidge,Nr#;g4CS\
961869,Mrs.,Sueann,E,Rawley,F,sueann.rawley@hotmail.com,Mervin Rawley,Eleanore Rawley,Kroll,7/29/1996,11:49:33 PM,24.11,50,8/7/2018,Q3,H2,2018,8,August,Aug,7,Tuesday,Tue,2.07,86662,23%,477-55-2885,210-724-5128,Marquez,Leon,Marquez,TX,77865,South,serawley,bs9e8ql/&+Hh
197166,Ms.,Ilana,C,Hodgdon,F,ilana.hodgdon@yahoo.co.uk,Otha Hodgdon,Alfredia Hodgdon,Richert,12/7/1978,06:55:20 AM,41.76,59,3/3/2018,Q1,H1,2018,3,March,Mar,3,Saturday,Sat,2.5,144914,0%,313-35-6799,240-795-4608,Severn,Anne Arundel,Severn,MD,21144,South,ichodgdon,vr11JB3!<omze[
664613,Dr.,Scottie,V,Netto,M,scottie.netto@gmail.com,Edmond Netto,Carie Netto,Rusnak,1/11/1976,10:58:51 PM,44.67,58,1/2/1998,Q1,H1,1998,1,January,Jan,2,Friday,Fri,22.68,81359,1%,038-74-1430,423-475-1914,Lobelville,Perry,Lobelville,TN,37097,South,svnetto,A4F|b7{j~
908921,Ms.,Tamra,V,Pauls,F,tamra.pauls@yahoo.ca,Mario Pauls,Kaila Pauls,Gaskell,2/9/1969,12:43:54 PM,51.59,58,5/28/1998,Q2,H1,1998,5,May,May,28,Thursday,Thu,22.28,48420,7%,292-15-2672,212-656-6991,Plattsburgh,Clinton,Plattsburgh,NY,12903,Northeast,tvpauls,c]cj;6y0[IgW
513832,Mr.,Austin,C,Vandeventer,M,austin.vandeventer@walmart.com,Jeff Vandeventer,Tama Vandeventer,Gaudreau,6/23/1982,03:44:59 AM,38.22,79,9/12/2016,Q3,H2,2016,9,September,Sep,12,Monday,Mon,3.97,168047,23%,501-37-5005,209-373-8040,Isleton,Sacramento,Isleton,CA,95641,West,acvandeventer,aXDBO.t\~
852258,Ms.,Marylynn,N,Terrell,F,marylynn.terrell@gmail.com,Daren Terrell,Anamaria Terrell,Becker,7/16/1984,05:05:35 AM,36.15,50,8/5/2014,Q3,H2,2014,8,August,Aug,5,Tuesday,Tue,6.08,96736,30%,410-99-1398,207-231-1668,Eastport,Washington,Eastport,ME,4631,Northeast,mnterrell,OF:~&8kMl@Wt@gn
988618,Ms.,Jaimie,W,Flack,F,jaimie.flack@hotmail.com,Rich Flack,Belle Flack,Neubauer,9/23/1971,01:31:34 PM,48.97,48,2/22/2013,Q1,H1,2013,2,February,Feb,22,Friday,Fri,7.53,157961,6%,236-55-2474,209-764-5545,Santa Ana,Orange,Santa Ana,CA,92701,West,jwflack,F<T%CNPGx
402400,Mr.,Rueben,V,Curren,M,rueben.curren@comcast.net,Rodrick Curren,Troy Curren,Lazo,2/9/1983,01:36:06 AM,37.58,67,12/24/2010,Q4,H2,2010,12,December,Dec,24,Friday,Fri,9.69,62402,16%,235-57-8995,505-720-3565,La Joya,Socorro,La Joya,NM,87028,West,rvcurren,7CJAokiF+yQ$
859133,Mrs.,Mariella,D,Baade,F,mariella.baade@msn.com,Peter Baade,Shasta Baade,Gervais,4/10/1998,05:22:51 PM,22.41,45,1/10/2020,Q1,H1,2020,1,January,Jan,10,Friday,Fri,0.64,74732,19%,413-99-4233,229-366-3496,Statesboro,Bulloch,Statesboro,GA,30458,South,mdbaade,GD&?{{a>~0
894695,Mrs.,Tawanna,S,Milo,F,tawanna.milo@gmail.com,Orval Milo,Rashida Milo,Failla,6/14/1992,01:51:54 AM,28.23,44,12/29/2019,Q4,H2,2019,12,December,Dec,29,Sunday,Sun,0.67,90781,13%,267-99-5278,270-824-7139,Robinson Creek,Pike,Robinson Creek,KY,41560,South,tsmilo,WA%aDymkJl2
515168,Mrs.,Janyce,S,Babich,F,janyce.babich@yahoo.com,Jason Babich,Stephine Babich,Belin,1/4/1965,10:03:59 AM,55.69,51,3/15/2003,Q1,H1,2003,3,March,Mar,15,Saturday,Sat,17.48,113521,2%,056-02-4867,252-726-2989,Pelham,Caswell,Pelham,NC,27311,South,jsbabich,rdO*d~~bmy%GH{
416715,Mr.,Trevor,E,Stidham,M,trevor.stidham@gmail.com,Efren Stidham,Elane Stidham,Hammock,1/1/1962,10:22:01 AM,58.7,88,6/1/1993,Q2,H1,1993,6,June,Jun,1,Tuesday,Tue,27.27,102636,19%,591-99-7767,210-498-1382,Odessa,Ector,Odessa,TX,79764,South,testidham,G\GIu/F]%[MQY
812063,Prof.,Cedric,I,Cunningham,M,cedric.cunningham@gmail.com,Luciano Cunningham,Pamela Cunningham,Dobbins,4/28/1967,02:30:15 AM,53.38,58,3/7/1990,Q1,H1,1990,3,March,Mar,7,Wednesday,Wed,30.51,113291,10%,560-99-8307,605-567-2157,Crocker,Crocker,Crocker,SD,57229,Midwest,cicunningham,9_CS^Ca\C|N#
381608,Mr.,Wyatt,N,Stacey,M,wyatt.stacey@yahoo.co.in,Herschel Stacey,Jeneva Stacey,Beehler,7/5/1975,06:58:15 AM,45.19,70,12/26/2005,Q4,H2,2005,12,December,Dec,26,Monday,Mon,14.69,177332,12%,683-24-8093,215-695-4811,Bangor,Northampton,Bangor,PA,18013,Northeast,wnstacey,4ch]fV[]MT?180B
683988,Mr.,Roberto,O,Klapper,M,roberto.klapper@ibm.com,Joey Klapper,Corliss Klapper,Blecha,4/19/1984,01:51:18 AM,36.39,65,4/18/2015,Q2,H1,2015,4,April,Apr,18,Saturday,Sat,5.38,87190,6%,759-12-5488,304-938-1159,Green Sulphur Springs,Summers,Green Sulphur Springs,WV,25966,South,roklapper,ZywXA<l>
